beschreibung,offset,info,erledigt
Rotavirus (RV) #1 (lotte),2,1. Impfung in der 7. Lebenswoche, 
Rotavirus (RV) #2 (lotte),3,fruehestens 4 Wochen nach der 1. Impfung, 
Rotavirus (RV) #3 (lotte),4,abhaengig vom verwendeten Impfstoff fruehestens 4 Wochen nach der 2. Impfung, 
6-fach #1 (lotte),3,"6-fach (Diphterie (DIP), Tetanus (TET), Pertussis (PEA), Poliomyelitis (IPV), Haemophilus,  Influenzae B (HIB), Hepatitis B (HBV))", 
6-fach #2 (lotte),5,2 Monate nach der 1. Impfung, 
6-fach #3 (lotte),12,fruehestens 6 Monate nach der 2. Impfung, 
Pneumokokken (PNC) #1 (lotte),3,, 
Pneumokokken (PNC) #2 (lotte),5,2 Monate nach der 1. Impfung, 
Pneumokokken (PNC) #3 (lotte),13,fruehestens 6 Monate nach der 2. Impfung, 
MMR #1 (lotte),11,Bei 1. Impfung im 10. bis 12. Monat: 2. Impfung nach 3 Monaten, 
MMR #2 (lotte),14,2. Impfung nach 3 Monaten, 
Meningokokken B #1 (lotte),3,, 
Meningokokken B #2 (lotte),4,, 
Meningokokken B #3 (lotte),5,, 
Meningokokken B #4 (lotte),13,Auffrischungs- beziehungsweise Nachhol-Impfung, 
Meningokokken C #1 (lotte),13,1 Impfung ab dem 13. Monat, 
FSME #1 (lotte),13,, 
FSME #2 (lotte),14,, 
FSME #3 (lotte),20,, 
FSME #5 (lotte),60,Auffrischungs-Impfung, 
Varizellen (VZV) #1 (lotte),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Varizellen (VZV) #2 (lotte),32,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #1 (lotte),30,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
Hepatitis A (HAV) #2 (lotte),31,"Vor Eintritt in Gemeinschaftseinrichtungen, 2 Impfungen, Abstand mindestens 6 Wochen", 
